Date,Account,Description,Payee,Amount,Category,Is_Tax_Deductible,Is_Reimbursable,Source,TransactionID,Reviewed,ReconciliationID,SourceTransactionID,Rule_Ignored,Duplicate_Ignored
2024-02-07,US Bank Checking,WEB AUTHORIZED PMT AMEX EPAYMENT,Web Authorized Pmt Amex Epayment,-849.06,Transfer,False,False,usbank_6055_combined.csv,965f5e78da3fab4f87ccf235a7b2b9c9,True,REC-981a9adaca68,,False,False
2024-02-12,US Bank Checking,ZELLE INSTANT PMT FROM KRISTINE A NORTH              JPM99a9acyib,Zelle Instant Pmt From Kristine A North,284.03,Income: Reimbursement,False,False,usbank_6055_combined.csv,8cae04161b93ce8beb5a18ae42ad65ae,True,,,False,False
2024-02-12,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-75.0,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,1d6017a8f199e386591e0cce189e46d5,True,,,False,False
2024-02-12,US Bank Checking,WEB AUTHORIZED PMT TARGET CARD SRVC,Web Authorized Pmt Target Card Srvc,-14.7,Transfer,False,False,usbank_6055_combined.csv,132cbf8034848de174f5a334ebb5daae,True,REC-7123b27ee152,,False,False
2024-02-15,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,699.54,Income: Paycheck,False,False,usbank_6055_combined.csv,63e9e2278bd8082c9acd8ab4ceac2f7d,True,,,False,False
2024-02-15,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,483.68,Income: Paycheck,False,False,usbank_6055_combined.csv,f11f0d3ac5d747654f7b1c6be811719b,True,,,False,False
2024-02-15,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-214.0,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,a1bca9cb017f89ba1c07452c9cad4836,True,,,False,False
2024-02-20,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-87.5,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,a07cfaed84c729b9e5091492b4eaf298,True,,,False,False
2024-02-22,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,409.25,Income: Paycheck,False,False,usbank_6055_combined.csv,5e7916ec25fdb58e018ee71bc0971a10,True,,,False,False
2024-02-22,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,50.0,Income: Paycheck,False,False,usbank_6055_combined.csv,0f28949cb7e872153d77ef27264e2ef4,True,,,False,False
2024-02-23,US Bank Checking,ELECTRONIC DEPOSIT PAYPAL,Electronic Deposit Paypal,190.08,Income: Reimbursement,False,False,usbank_6055_combined.csv,3a2fc018338828c8e8fdb0dc95f3a114,True,,,False,False
2024-02-26,US Bank Checking,ELECTRONIC WITHDRAWAL CHASE CREDIT CRD,Electronic Withdrawal Chase Credit Crd,-259.19,Transfer,False,False,usbank_6055_combined.csv,2630f5b83f29605b33b8626503c68a66,True,REC-9b6f3407b59c,,False,False
2024-02-27,US Bank Checking,MONTHLY MAINTENANCE FEE,Monthly Maintenance Fee,-14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,daf06ae617879c6923c08abf193efdf3,True,,,False,False
2024-02-27,US Bank Checking,MONTHLY MAINTENANCE FEE WAIVED,Monthly Maintenance Fee Waived,14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,6192df59da8d0928f5e84d1eb12e6086,True,,,False,False
2024-02-29,US Bank Checking,ELECTRONIC WITHDRAWAL brightwheel,Electronic Withdrawal Brightwheel,-750.0,Child-Related: Afterschool,False,False,usbank_6055_combined.csv,5b5f337aa95f14d1196772c4998ebc66,True,,,False,False
2024-03-04,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,1291.38,Income: Paycheck,False,False,usbank_6055_combined.csv,73a24643cb7849a888afb984b5299502,True,,,False,False
2024-03-04,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,721.66,Income: Paycheck,False,False,usbank_6055_combined.csv,24bee79dbe126477525544277c2cc967,True,,,False,False
2024-03-04,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,522.19,Income: Paycheck,False,False,usbank_6055_combined.csv,ecc0cbfc1d93550e737da98f684c1ea5,True,,,False,False
2024-03-04,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-75.0,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,07cab6588686a1fcb7a845d816316c38,True,,,False,False
2024-03-04,US Bank Checking,CHECK,Check,-2000.0,Home: Rent,False,False,usbank_6055_combined.csv,79747bdcf0e36e1813c0f67c20dea2f6,True,,,False,False
2024-03-04,US Bank Checking,COUNTER CK FEE,Counter Ck Fee,-2.0,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,64bdb348dfa95f9217fe087e9cecdf75,True,,,False,False
2024-03-05,US Bank Checking,WEB AUTHORIZED PMT SO CAL GAS,Web Authorized Pmt So Cal Gas,-30.9,Home: Utilities,False,False,usbank_6055_combined.csv,98bed818dc49c1b81b0f3fc760a48d94,True,,,False,False
2024-03-07,US Bank Checking,WEB AUTHORIZED PMT AMEX EPAYMENT,Web Authorized Pmt Amex Epayment,-697.93,Transfer,False,False,usbank_6055_combined.csv,63577c0fd2153cb97a3c24758d3228b3,True,REC-d4b9b437222d,,False,False
2024-03-08,US Bank Checking,ELECTRONIC WITHDRAWAL WF Credit Card,Electronic Withdrawal Wf Credit Card,-72.0,Transfer,False,False,usbank_6055_combined.csv,e3a1b612646f340a27c7821377e4cc26,True,REC-1cc8ff8e45e5,,False,False
2024-03-11,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,1451.29,Income: Paycheck,False,False,usbank_6055_combined.csv,8ee01bcf030eec3058243976d087096b,True,,,False,False
2024-03-11,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,368.73,Income: Paycheck,False,False,usbank_6055_combined.csv,0a367eb548f1fc834bcc9a4adf55c79d,True,,,False,False
2024-03-15,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-214.0,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,b3b03eaea87b93485a45d543eb6469e0,True,,,False,False
2024-03-18,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,1114.0,Income: Paycheck,False,False,usbank_6055_combined.csv,47250d466629a3d1e8f13a50aa9080a9,True,,,False,False
2024-03-18,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,539.06,Income: Paycheck,False,False,usbank_6055_combined.csv,6dcf9c4b61ac870374f8aba1ba3a7559,True,,,False,False
2024-03-18,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,148.2,Income: Paycheck,False,False,usbank_6055_combined.csv,36fff968ec57d08af3e115229bf0bf4a,True,,,False,False
2024-03-18,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,31.96,Income: Paycheck,False,False,usbank_6055_combined.csv,ecf9a0d8cbe01fcfc00f0034b83b76df,True,,,False,False
2024-03-18,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-87.5,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,0dfa69be88c2ed782a377bd38cc66f16,True,,,False,False
2024-03-22,US Bank Checking,ZELLE INSTANT PMT TO JOHANA ALVAREZ                USBbnYLiHa5O,Zelle Instant Pmt To Johana Alvarez,-0.01,Child-Related: Nanny,False,False,usbank_6055_combined.csv,15a024af3012741ba572d09da462ad89,True,,,False,False
2024-03-25,US Bank Checking,ZELLE INSTANT PMT TO JOHANA ALVAREZ                USBrKgpiHrF5,Zelle Instant Pmt To Johana Alvarez,-262.5,Child-Related: Nanny,False,False,usbank_6055_combined.csv,bc1a06000d33ac5686acddbcb1f3b1c0,True,,,False,False
2024-03-25,US Bank Checking,ELECTRONIC WITHDRAWAL CHASE CREDIT CRD,Electronic Withdrawal Chase Credit Crd,-562.47,Transfer,False,False,usbank_6055_combined.csv,e4852b6156884884de4ccfeac201f072,True,REC-b33f3ce7f3cf,,False,False
2024-03-25,US Bank Checking,WEB AUTHORIZED PMT WELLS FARGO CARD,Web Authorized Pmt Wells Fargo Card,-2500.0,Transfer,False,False,usbank_6055_combined.csv,9653eee11e867b5e0880b0fb0cbe078a,True,REC-2041afb8aec6,,False,False
2024-03-26,US Bank Checking,MONTHLY MAINTENANCE FEE,Monthly Maintenance Fee,-14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,99188b311654212731c541604f0da8c7,True,,,False,False
2024-03-26,US Bank Checking,MONTHLY MAINTENANCE FEE WAIVED,Monthly Maintenance Fee Waived,14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,7bc7be186550a6c95ada48285c003ba1,True,,,False,False
2024-03-27,US Bank Checking,WEB AUTHORIZED PMT COINBASE INC.,Web Authorized Pmt Coinbase Inc.,-250.0,Income: Investment,False,False,usbank_6055_combined.csv,42f533340cf8afecd4cc38da572e8ecd,True,,,False,False
2024-04-01,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,1388.49,Income: Paycheck,False,False,usbank_6055_combined.csv,4c046862e2765e324b4c03a27a8bdb3f,True,,,False,False
2024-04-01,US Bank Checking,WEB AUTHORIZED PMT BRGHTWHL*...,Web Authorized Pmt Brghtwhl,-750.0,Child-Related: Afterschool,False,False,usbank_6055_combined.csv,41f67316448c0b16ef61a2ab1a37653d,True,,,False,False
2024-04-02,US Bank Checking,WEB AUTHORIZED PMT SO CAL GAS,Web Authorized Pmt So Cal Gas,-25.41,Home: Utilities,False,False,usbank_6055_combined.csv,16555d2dc088f5c96bd516a794217928,True,,,False,False
2024-04-03,US Bank Checking,MOBILE BANKING TRANSFER WITHDRAWAL 3692,Mobile Banking Transfer Withdrawal,-82.5,Child-Related: Misc Expenses,False,False,usbank_6055_combined.csv,85f2549f2da71b9ea248cc4f0ebcc60f,True,,,False,False
2024-04-03,US Bank Checking,CHECK,Check,-2000.0,Home: Rent,False,False,usbank_6055_combined.csv,c88687a88d29c963ff8d79b6934ea2fa,True,,,False,False
2024-04-03,US Bank Checking,COUNTER CK FEE,Counter Ck Fee,-2.0,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,bebcce5197ebb6bd3016b8c690d4bb36,True,,,False,False
2024-04-04,US Bank Checking,ELECTRONIC DEPOSIT PAYPAL,Electronic Deposit Paypal,213.44,Income: Reimbursement,False,False,usbank_6055_combined.csv,2d2de37c9cb956d966d3063c90ba994a,True,,,False,False
2024-04-05,US Bank Checking,ZELLE INSTANT PMT TO JOHANA ALVAREZ                USB9XtbiL8f2,Zelle Instant Pmt To Johana Alvarez,-200.0,Child-Related: Nanny,False,False,usbank_6055_combined.csv,15960349fd6004625f1e155bddcbfc45,True,,,False,False
2024-04-08,US Bank Checking,ZELLE INSTANT PMT FROM AVIANNA PEREZ                 PAT01XE9OBNE,Zelle Instant Pmt From Avianna Perez,82.23,Income: Reimbursement,False,False,usbank_6055_combined.csv,3f5ca7e4c129eeb0965dc3f230aa4710,True,,,False,False
2024-04-08,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,963.03,Income: Paycheck,False,False,usbank_6055_combined.csv,d4c022e641022aca119b9c7f94e6c0d3,True,,,False,False
2024-04-08,US Bank Checking,WEB AUTHORIZED PMT AMEX EPAYMENT,Web Authorized Pmt Amex Epayment,-502.45,Transfer,False,False,usbank_6055_combined.csv,98c42a5d942016de14d94f505e1369f7,True,REC-93ff42a3272c,,False,False
2024-04-12,US Bank Checking,ZELLE INSTANT PMT TO JOHANA ALVAREZ                USBH2gwiN7zF,Zelle Instant Pmt To Johana Alvarez,-100.0,Child-Related: Nanny,False,False,usbank_6055_combined.csv,e04a0add0cf5ce2ea80951687f81d9e5,True,,,False,False
2024-04-15,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,1275.26,Income: Paycheck,False,False,usbank_6055_combined.csv,e9138a7262c1f8a09bc7dbb4788939aa,True,,,False,False
2024-04-15,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,1075.82,Income: Paycheck,False,False,usbank_6055_combined.csv,09549b04d5a34c792e7c156e065b8d01,True,,,False,False
2024-04-15,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-214.0,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,644cd247933d0cda484d3634796ea554,True,,,False,False
2024-04-16,US Bank Checking,WEB AUTHORIZED PMT COINBASE INC.,Web Authorized Pmt Coinbase Inc.,-10.0,Income: Investment,False,False,usbank_6055_combined.csv,233f5d020c017283fd405f34b83cc28b,True,,,False,False
2024-04-19,US Bank Checking,ZELLE INSTANT PMT TO JOHANA ALVAREZ                USBY9k3iP6Oo,Zelle Instant Pmt To Johana Alvarez,-200.0,Child-Related: Nanny,False,False,usbank_6055_combined.csv,5bf0ac100cb59f034b708037a04cf1c1,True,,,False,False
2024-04-19,US Bank Checking,WEB AUTHORIZED PMT COINBASE INC.,Web Authorized Pmt Coinbase Inc.,-500.0,Income: Investment,False,False,usbank_6055_combined.csv,0e65240762f3c7cd8ce84c0d4cc691a1,True,,,False,False
2024-04-22,US Bank Checking,ELECTRONIC DEPOSIT COINBASE INC.,Electronic Deposit Coinbase Inc.,603.39,Income: Investment,False,False,usbank_6055_combined.csv,b1cd7a98d6a847d26d25a0d4251a24f0,True,,,False,False
2024-04-22,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,1511.82,Income: Paycheck,False,False,usbank_6055_combined.csv,3543bd463c75e5ac341caeeb6be4876d,True,,,False,False
2024-04-22,US Bank Checking,WEB AUTHORIZED PMT COINBASE INC.,Web Authorized Pmt Coinbase Inc.,-603.39,Income: Investment,False,False,usbank_6055_combined.csv,c9e21758fc1ddd485765e6a586df3a85,True,,,False,False
2024-04-24,US Bank Checking,MONTHLY MAINTENANCE FEE,Monthly Maintenance Fee,-14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,03ea0b205d562bbb8ae9263ec3af7c0a,True,,,False,False
2024-04-24,US Bank Checking,MONTHLY MAINTENANCE FEE WAIVED,Monthly Maintenance Fee Waived,14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,aed31ac3cd46689149515d25b01701b3,True,,,False,False
2024-04-25,US Bank Checking,ZELLE INSTANT PMT TO JOHANA ALVAREZ                USBtrrTiQOkG,Zelle Instant Pmt To Johana Alvarez,-100.0,Child-Related: Nanny,False,False,usbank_6055_combined.csv,899c8c78ccc166eca9ec6816746e874a,True,,,False,False
2024-04-25,US Bank Checking,ELECTRONIC WITHDRAWAL CHASE CREDIT CRD,Electronic Withdrawal Chase Credit Crd,-468.11,Transfer,False,False,usbank_6055_combined.csv,4e9acdc236bf0411b0fedcdd4a7f90c5,True,REC-35209973534c,,False,False
2024-04-30,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,1511.82,Income: Paycheck,False,False,usbank_6055_combined.csv,fd1e12856c37cbcbe5c1c9fff79db908,True,,,False,False
2024-05-02,US Bank Checking,WEB AUTHORIZED PMT BRGHTWHL*...,Web Authorized Pmt Brghtwhl,-750.0,Child-Related: Afterschool,False,False,usbank_6055_combined.csv,00bb5ed974472bd2a245e98511ae0e62,True,,,False,False
2024-05-03,US Bank Checking,ZELLE INSTANT PMT TO JOHANA ALVAREZ                USBKwaWiT5c3,Zelle Instant Pmt To Johana Alvarez,-200.0,Child-Related: Nanny,False,False,usbank_6055_combined.csv,51a43d73f89dc7156c30b0e516dcf472,True,,,False,False
2024-05-03,US Bank Checking,CHECK,Check,-2000.0,Home: Rent,False,False,usbank_6055_combined.csv,50a33cb0e47ed04c04af8054ad3a5e82,True,,,False,False
2024-05-03,US Bank Checking,COUNTER CK FEE,Counter Ck Fee,-2.0,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,ce29c7a997d38925ffd7e6f713222b43,True,,,False,False
2024-05-06,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,1522.64,Income: Paycheck,False,False,usbank_6055_combined.csv,fd7781772a2b20d8b1dcbb6172975663,True,,,False,False
2024-05-07,US Bank Checking,WEB AUTHORIZED PMT AMEX EPAYMENT,Web Authorized Pmt Amex Epayment,-87.9,Transfer,False,False,usbank_6055_combined.csv,f03c4c093caf1b087d3d2cd439991349,True,REC-4ffec186633f,,False,False
2024-05-08,US Bank Checking,ELECTRONIC WITHDRAWAL WF Credit Card,Electronic Withdrawal Wf Credit Card,-52.0,Transfer,False,False,usbank_6055_combined.csv,c5d6fb7b0ac5b2b0ba6653c55b5ad29a,True,REC-c4120753af84,,False,False
2024-05-10,US Bank Checking,ZELLE INSTANT PMT TO JOHANA ALVAREZ                USBuRxriV4mB,Zelle Instant Pmt To Johana Alvarez,-200.0,Child-Related: Nanny,False,False,usbank_6055_combined.csv,e2646ebe04570f7770857380cce87108,True,,,False,False
2024-05-13,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,1741.27,Income: Paycheck,False,False,usbank_6055_combined.csv,47328b94ef42ea24774b3ad61fd736a9,True,,,False,False
2024-05-13,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,1500.0,Income: Paycheck,False,False,usbank_6055_combined.csv,5153e332b87b52b9a7f254950b0e9f46,True,,,False,False
2024-05-15,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-214.0,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,86184b10e163f463ed61d010d78ffee5,True,,,False,False
2024-05-17,US Bank Checking,ZELLE INSTANT PMT TO JOHANA ALVAREZ                USBXPBjiX3DK,Zelle Instant Pmt To Johana Alvarez,-200.0,Child-Related: Nanny,False,False,usbank_6055_combined.csv,cf0c9ce336aa8bc098f2d959f2330bfb,True,,,False,False
2024-05-17,US Bank Checking,ZELLE INSTANT PMT FROM MICAH ROSEN-GOLDSTEIN         JPM99ah95nw5,Zelle Instant Pmt From Micah Rosen-Goldstein,2000.0,Income: Reimbursement,False,False,usbank_6055_combined.csv,db9d02c7a38af982626e6612f00b93e2,True,,,False,False
2024-05-17,US Bank Checking,CUSTOMER WITHDRAWAL,Customer Withdrawal,-10000.0,Auto & Transport: Car Loan,False,False,usbank_6055_combined.csv,850d08995ca37f1edf1288e698e2ea4d,True,,,False,False
2024-05-20,US Bank Checking,ZELLE INSTANT PMT FROM MICAH ROSEN-GOLDSTEIN         JPM99ahag8dh,Zelle Instant Pmt From Micah Rosen-Goldstein,2000.0,Income: Reimbursement,False,False,usbank_6055_combined.csv,14c6f20a75127afefe344c1470c627b0,True,,,False,False
2024-05-20,US Bank Checking,ZELLE INSTANT PMT FROM MICAH ROSEN-GOLDSTEIN         JPM99ahbzb2h,Zelle Instant Pmt From Micah Rosen-Goldstein,2000.0,Income: Reimbursement,False,False,usbank_6055_combined.csv,0462445b41122fb22c056210b23ff131,True,,,False,False
2024-05-20,US Bank Checking,ZELLE INSTANT PMT FROM MICAH ROSEN-GOLDSTEIN         JPM99aheitvj,Zelle Instant Pmt From Micah Rosen-Goldstein,1419.99,Income: Reimbursement,False,False,usbank_6055_combined.csv,b3913cd429a01487e8e4a8fb52d991bf,True,,,False,False
2024-05-20,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,1746.33,Income: Paycheck,False,False,usbank_6055_combined.csv,6e4af482202479587f116dd6ce72267b,True,,,False,False
2024-05-21,US Bank Checking,ELECTRONIC DEPOSIT VENMO,Electronic Deposit Venmo,366.8,Transfer,False,False,usbank_6055_combined.csv,b3e3b9bc4ba9182ef7e81004b2c611bb,True,REC-7caa49835f89,,False,False
2024-05-22,US Bank Checking,DEBIT PURCHASE WM SUPERC Wal-MaBURBANK     CA 1102,Debit Purchase Wm Superc Wal-Maburbank,-1419.99,Misc Income: Ed's Dead,False,False,usbank_6055_combined.csv,c1c7fd3970215f251b7fc2b152c8870a,True,,,False,False
2024-05-23,US Bank Checking,ATM DEPOSIT US BANK VICTORY BURBANK     CAUS1 1102,Atm Deposit Us Bank Victory Burbank,1419.0,Income: Reimbursement,False,False,usbank_6055_combined.csv,81c11325018cacfeaaaec30b2026ab9a,True,,,False,False
